CIK,CompanyName,Category,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Mean_TH,Haven_Aggressiveness
799288,Lands' End Inc,Retail Trade,1110.911,788.2,16.297,-6.666,149.894,0,-1.959,0.167,1
1590717,Caretrust Reit Inc,"Finance, Insurance, And Real Estate",1291.762,523.515,NA,NA,NA,0,0,0,1
1409970,Lendingclub Corp,"Finance, Insurance, And Real Estate",3819.527,2948.546,NA,NA,113.875,0,0.043,0,1
1597033,Sabre Corp,Services,5806.381,4832.11,190.291,208.122,790.372,59.743,57.492,0.26,2
883948,Atlantic Union Bankshrs Crp,"Finance, Insurance, And Real Estate",13765.599,11841.018,NA,NA,146.967,NA,30.016,0,1
1115128,Quotient Technology Inc,Services,662.353,282.266,-26.813,-1.023,15.579,0.39,0.482,0.167,1
1598968,Antero Midstream Partners Lp,Mining,3546.417,1854.909,NA,NA,2958.415,0,0,0,1
1433714,Castlight Health Inc,Services,253.514,58.843,-39.706,0,3.963,0,0,0,1
827871,Eagle Pharmaceuticals Inc,Manufacturing,238.603,77.841,NA,NA,2.397,0,2.135,0,1
1635282,Rimini Street Inc,Services,118.885,270.473,-72.235,6.262,3.634,2.115,1.992,0.357,2
102212,Univest Financial Corp,"Finance, Insurance, And Real Estate",4984.347,4360.214,NA,NA,59.559,NA,10.143,0,1
1563407,Smart & Final Stores Inc,Retail Trade,1711.918,1403.763,-101.802,2.328,499.009,0.268,12.681,0,1
1580808,A10 Networks Inc,Manufacturing,235.876,131.993,-29.658,3.123,7.262,0.953,1.082,0.625,4
1593222,City Office Reit Inc,"Finance, Insurance, And Real Estate",1100.431,702.054,NA,NA,NA,0,0,0,1
1307748,Inventrust Properties Corp,"Finance, Insurance, And Real Estate",2536.006,683.692,NA,NA,NA,0,0.03,0,1
1599489,Veritiv Corp,Wholesale Trade,2529.7,1986.6,-16.7,6.5,206.7,1.5,5.5,0.188,1
1517022,Akebia Therapeutics Inc,Manufacturing,996.54,360.612,NA,NA,8.023,0,-28.338,0,1
1410384,Q2 Holdings Inc,Services,463.72,304.82,-39.36,0.16,34.994,0.083,-3.803,0,1
1459417,2u Inc,Services,807.354,102.345,-33.339,-9.858,52.299,0,-4.867,0,1
1372414,Aerohive Networks Inc,Manufacturing,141.517,123.909,-11.832,-6.345,5.947,0.183,0.16,0,1
1594109,Grubhub Inc,Services,2065.708,623.369,80.878,0.555,119.495,0.335,2.952,0,1
1288847,Five9 Inc,Services,394.666,251.918,-0.638,0.717,25.885,0.272,0.3,0.2,1
1596967,Moelis & Co,"Finance, Insurance, And Real Estate",914.375,542.622,237.92,0.532,12.731,1.393,30.448,0.222,2
1592000,Enlink Midstream Llc,"Transportation, Communications, Electric, Gas, And Sanitary Services",10694.1,5710.6,NA,NA,6846.7,NA,18.2,0,1
784011,Pope Resources/De  -Lp,Services,508.249,169.649,NA,NA,478.628,NA,0.104,0,1
908311,Cim Commerical Trust,"Finance, Insurance, And Real Estate",1342.401,689.393,NA,NA,NA,NA,0.925,0,1
1508655,Tpg Specialty Lending Inc,"Finance, Insurance, And Real Estate",1730.324,667.122,NA,NA,0,0,0,0,1
1668397,Medpace Holdings Inc,Services,967.933,378.23,88.014,5.937,52.255,1.408,20.766,0,1
1598428,Timkensteel Corp,Manufacturing,1197.6,662.4,-31.8,1.9,674.4,0.7,1.8,0.2,1
354647,Cvb Financial Corp,"Finance, Insurance, And Real Estate",11529.153,9677.963,NA,NA,58.193,NA,59.112,0,1
17313,Capital Southwest Corp,"Finance, Insurance, And Real Estate",551.843,225.88,NA,NA,0,NA,1.048,0,1
1591096,Presbia Plc,Manufacturing,4.53,2.986,NA,NA,0.367,-0.237,-0.235,0.333,2
