CIK,CompanyName,Category,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Mean_TH,Haven_Aggressiveness
912603,Schnitzer Steel Inds  -Cl A,Wholesale Trade,1104.817,434.707,131.518,10.335,415.711,0,-17.59,0.077,1
737207,Adhera Therapeutics Inc,Manufacturing,5.141,2.214,NA,NA,0.072,0,0,0,1
913241,Madden Steven Ltd,Manufacturing,1072.57,257.888,121.674,55.666,64.807,11.771,46.841,0.222,2
1063761,Simon Property Group Inc,"Finance, Insurance, And Real Estate",30686.223,26659.104,NA,NA,NA,NA,36.898,0,1
915389,Eastman Chemical Co,Manufacturing,15995,10117,718,592,5600,86,226,0.353,2
3570,Cheniere Energy Inc,Mining,31987,30058,997,230,27245,30,27,0.429,3
910329,Medifast Inc,Manufacturing,169.429,60.323,NA,NA,19.747,0,14.759,0,1
1685715,Jagged Peak Energy Inc,Mining,1767.141,819.191,NA,NA,1530.285,0,66.475,0,1
910406,Hain Celestial Group Inc,Manufacturing,2946.674,1209.625,-13.936,95.138,310.172,20.542,-0.887,0.2,1
914712,Steel Connect Inc,Services,827.05,684.23,-60.574,25.286,106.632,7.592,-71.202,0,1
1693256,Select Energy Services Inc,Mining,1360.605,249.832,NA,NA,502.848,0,1.704,0,1
915779,Daktronics Inc,Manufacturing,349.216,161.553,-8.402,3.458,65.314,1.151,-3.986,0.286,2
916076,Martin Marietta Materials,Mining,9551.419,4602.007,570.363,5.718,5157.229,-1.354,105.705,0.067,1
911109,Mobile Mini Inc,Services,2005.064,1194.795,-16.784,11.473,1083.344,2.934,2.751,0,1
916365,Tractor Supply Co,Retail Trade,3085.262,1523.442,NA,NA,1134.464,0,151.028,0,1
915913,Albemarle Corp,Manufacturing,7581.674,3822.566,223.702,570.999,3021.084,91.581,144.826,0.31,2
915840,Beazer Homes Usa Inc,Construction,2128.102,1484.075,NA,NA,20.843,0,94.484,0,1
1657788,Kimbell Royalty Partnrs Lp,Mining,753.285,91.109,NA,NA,711.245,0,0.025,0,1
914208,Invesco Ltd,"Finance, Insurance, And Real Estate",30978.4,21646,491.8,646.3,468.7,158.2,255,0.393,2
1732845,Westrock Co,Manufacturing,25360.5,13873.9,736.7,298.1,9082.5,86.6,-874.5,0,1
1688941,Foundation Bldg Mrl Inc,Wholesale Trade,1316.707,950.358,-47.873,5.826,151.641,1.787,-5.628,0,1
915912,Avalonbay Communities Inc,"Finance, Insurance, And Real Estate",18380.2,7744.35,NA,NA,NA,0,-0.16,0.286,2
918541,Nn Inc,Manufacturing,1501.57,1083.275,-263.499,2.465,361.028,3.086,-10.957,0.2,1
900075,Copart Inc,Wholesale Trade,2307.698,726.599,501.961,60.55,1163.425,8.82,144.504,0.1,1
918965,Scansource Inc,Wholesale Trade,1945.295,1078.919,66.416,-5.491,73.042,9.203,27.772,0.056,1
1509745,Leap Therapeutics Inc,Manufacturing,19.074,9.899,-21.378,-1.74,0.086,0,0.02,0.5,3
885590,Bausch Health Companies Inc,Manufacturing,32492,29677,-1475,-2679,1353,327,-10,0.256,2
1342423,Limoneira Co,Mining,421.339,191.389,13.099,0.384,332.843,0.169,-6.729,0.167,1
1045609,Prologis Inc,"Finance, Insurance, And Real Estate",38417.664,12616.776,1078.678,807.612,NA,50.731,63.33,0.222,2
1687229,Invitation Homes Inc,"Finance, Insurance, And Real Estate",18063.428,9694.242,NA,NA,11.792,0,0,0,1
918646,Eagle Materials Inc,Manufacturing,2169.163,959.676,NA,NA,1426.939,0,10.875,0,1
916907,Southern Missouri Bancp Inc,"Finance, Insurance, And Real Estate",1886.115,1685.421,NA,NA,54.832,NA,7.803,0,1
917251,Agree Realty Corp,"Finance, Insurance, And Real Estate",2028.189,789.703,NA,NA,NA,0,0.516,0,1
1433642,Hamilton Lane Inc,"Finance, Insurance, And Real Estate",360.591,190.869,128.035,1.522,8.108,0.463,30.56,0.429,3
1564408,Snap Inc,Services,2714.106,403.107,-969.922,-283.442,212.56,2.824,2.547,0,1
1699150,Gardner Denver Holdings Inc,Manufacturing,4487.1,2811.1,169,180.5,356.6,47.8,80.1,0.31,2
906709,Nektar Therapeutics,Manufacturing,2150.172,432.597,680.423,2.302,48.851,0.62,1.412,0,1
1680247,Propetro Holding Corp,Mining,1274.522,477.167,NA,NA,912.846,0,51.255,0,1
866374,Flex Ltd,Manufacturing,13499.367,10527.007,-10.498,192.624,2336.213,99.894,88.727,0.388,2
919956,Diversicare Healthcare Svcs,Services,159.244,160.442,NA,NA,53.099,0,-0.75,0,1
351569,Ameris Bancorp,"Finance, Insurance, And Real Estate",11443.515,9987.168,NA,NA,145.41,NA,30.463,0,1
61398,Tellurian Inc,Mining,408.548,110.614,-115.137,-10.798,130.58,-0.19,-0.19,0.25,2
921738,Penn National Gaming Inc,Services,10961.012,10229.791,89.582,0.339,6868.768,1.349,-3.593,0.125,1
920465,La Jolla Pharmaceutical Co,Manufacturing,204.292,168.371,NA,NA,22.267,0,0,1,5
920522,Essex Property Trust,"Finance, Insurance, And Real Estate",12383.596,5954.277,NA,NA,NA,0,0,0,1
1590750,Miragen Therapeutics Inc,Manufacturing,66.147,14.803,NA,NA,0.727,0,0,0,1
921582,Imax Corp,Manufacturing,873.6,274.243,-14.749,58.354,280.658,NA,9.518,0.429,3
921825,First Indl Realty Trust Inc,"Finance, Insurance, And Real Estate",3142.691,1462.78,NA,NA,NA,0,-0.092,0.167,1
1691303,Warrior Met Coal Inc,Mining,1395.04,682.428,NA,NA,660.742,0,-225.814,0,1
1047340,Fresh Del Monte Produce Inc,Mining,3255.2,1485.6,NA,NA,1392.2,NA,16.1,0,1
923120,Greenbrier Cos Inc (The),Manufacturing,2465.464,1051.481,110.8,112.8,780.051,38.628,32.893,0.286,2
63296,Matthews Intl Corp  -Cl A,Manufacturing,2375.485,1506.771,41.569,56.424,252.775,15.533,-9.118,0.286,2
922864,Apartment Invst & Mgmt Co,"Finance, Insurance, And Real Estate",6190.004,4325.072,NA,NA,NA,0,-13.027,0,1
1697500,Solaris Oilfield If Inc,Services,425.157,117.729,NA,NA,296.538,0,12.961,0,1
924822,Miller Industries Inc/Tn,Manufacturing,368.184,140.621,34.22,7.443,82.85,2.719,7.917,0,1
926282,Adtran Inc,Manufacturing,628.027,181.748,-74.131,40.76,80.635,11.705,-14.029,0.208,2
1614178,Yext Inc,Services,267.128,182.579,-64.653,-9.962,11.077,0.155,0.222,0.556,3
924901,Mack-Cali Realty Corp,"Finance, Insurance, And Real Estate",5060.644,3033.004,106.401,0,NA,0,0,0,1
916540,Darling Ingredients Inc,Manufacturing,4889.354,2553.533,82.146,35.829,1687.858,27.935,12.031,0.2,1
1689923,Alteryx Inc,Services,618.167,316.349,27.849,-2.415,11.729,0.587,-2.586,0.333,2
927355,Tessco Technologies Inc,Wholesale Trade,206.496,97.709,NA,NA,15.003,0,1.745,0,1
925645,Central European Media,"Transportation, Communications, Electric, Gas, And Sanitary Services",1488.361,989.67,-38.434,163.327,117.604,25.308,27.828,0.3,2
726728,Realty Income Corp,"Finance, Insurance, And Real Estate",15260.483,7139.505,NA,NA,5.681,0,5.34,0,1
1492691,Knight-Swift Trptn Hldgs Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",7911.885,2449.166,NA,NA,2612.837,3.124,131.389,0,1
929940,Aspen Technology Inc,Services,264.924,549.039,195.442,7.901,9.806,2.296,54.655,0.25,2
927628,Capital One Financial Corp,"Finance, Insurance, And Real Estate",372538,320870,6936,382,4191,135,1293,0,1
1579214,Emerald Expstns Events,Services,1580,871.7,NA,NA,3.7,0,-8.3,0,1
1690820,Carvana Co,Retail Trade,991.013,763.585,NA,NA,296.839,0,0,0,1
1692427,Ncs Multistage Hldg Inc,Manufacturing,229.701,53.47,-52.523,-155.76,32.296,4.307,-23.052,0,1
1615165,Veritone Inc,Services,117.754,57.471,-61.169,0.087,4.008,0.016,0.022,0,1
1689813,Biohaven Phrmcutcl Hld,Manufacturing,290.012,139.092,-246.829,6.374,6.248,0.467,0.467,0.5,3
929545,Condor Hospitality Tr Inc,"Finance, Insurance, And Real Estate",253.448,145.596,NA,NA,NA,0,0.335,0,1
1672909,Canterbury Park Holding Corp,Services,61.426,14.692,NA,NA,38.131,0,1.99,0,1
1574197,Five Point Holdings Llc,"Finance, Insurance, And Real Estate",2923.892,1075.375,NA,NA,31.677,0,9.183,0,1
1623925,Antero Midstream Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",47.705,16.844,NA,NA,0,NA,32.311,0,1
931584,Unvl Stainless & Alloy Prods,Manufacturing,353.32,116.309,NA,NA,177.844,0,1.935,0,1
926423,Mitcham Industries Inc,Manufacturing,65.301,8.623,-6.025,-13.563,14.155,0.619,0.252,0.143,1
1096376,Nutrisystem Inc,Retail Trade,204.237,57.721,NA,NA,28.129,0,16.282,0,1
1326190,Altimmune Inc,Manufacturing,54.751,6.438,-38.98,-6.341,1.343,0,-6.15,0,1
1631596,Kkr Real Estate Fin Tr Inc,"Finance, Insurance, And Real Estate",5231.845,4096.657,NA,NA,0,0,-0.07,0,1
1058867,Guaranty Bancshares Inc,"Finance, Insurance, And Real Estate",2266.97,2022.387,NA,NA,52.227,NA,4.599,0,1
1404281,Novus Therapeutics Inc,Manufacturing,17.026,2.534,-14.177,0.112,0.014,0,0,1,5
1109242,Hanmi Financial Corp,"Finance, Insurance, And Real Estate",5502.219,4949.651,NA,NA,27.752,NA,26.102,0,1
1138978,Novo Integrated Sciences Inc,Services,4.743,4.57,-1.678,-0.439,0.4,0,0,0,1
714712,Juniata Valley Financial Cp,"Finance, Insurance, And Real Estate",625.236,557.858,NA,NA,8.744,NA,-0.659,0,1
1593548,Playags Inc,Manufacturing,731.342,595.538,-13.814,-15.409,91.547,-6.83,-8.377,0,1
1300699,Athenex Inc,Manufacturing,231.095,102.326,-95.479,-33.132,11.447,0.455,0.1,0.5,3
868278,Prophase Labs Inc,Manufacturing,20.737,4.233,NA,NA,2.499,0,0.103,0,1
1652133,Oasis Midstream Partnr,"Transportation, Communications, Electric, Gas, And Sanitary Services",964.252,412.807,NA,NA,870.425,0,0,0,1
932696,Insight Enterprises Inc,Wholesale Trade,2775.947,1788.958,145.907,65.995,72.954,17.547,48.225,0.2,1
1701051,Wideopenwest Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",2419.6,2709.9,NA,NA,1053.4,0,-61.8,0,1
933974,Brooks Automation Inc,Manufacturing,1095.257,377.425,3.122,17.344,59.988,7.608,-47.251,0.429,3
1616533,Smart Global Holdings Inc,Manufacturing,672.762,485.634,-7.918,145.696,56.615,21.688,18.315,0.167,1
1532286,Nine Energy Service Inc,Mining,1141.172,546.349,NA,NA,211.644,0.012,2.375,0,1
913760,Intl Fcstone Inc,"Finance, Insurance, And Real Estate",7824.7,7319.4,9.9,91.6,42.4,22.4,46,0.368,2
1714973,Kinder Morgan Canada Limited,"Transportation, Communications, Electric, Gas, And Sanitary Services",5369.6,4477.1,NA,NA,981.3,NA,37.8,0,1
1656328,Sienna Biopharmaceuticl,Manufacturing,107.306,80.725,-70.206,-3.265,0.311,0,0,0,1
935036,Aci Worldwide Inc,Services,2122.455,1074.224,16.312,75.487,72.729,17.626,22.878,0.167,1
1702750,Byline Bancorp Inc,"Finance, Insurance, And Real Estate",4942.574,4291.902,NA,NA,97.68,NA,14.247,0,1
22606,Commonwealth Edison Co,"Transportation, Communications, Electric, Gas, And Sanitary Services",31213,20966,NA,NA,22058,NA,168,0.107,1
716634,Reading Intl Inc  -Cl A,Services,439.028,258.481,-3.039,20.957,344.471,6.158,3.42,0.111,1
1140859,Amerisourcebergen Corp,Wholesale Trade,37669.838,34619.877,704.935,472.488,1892.424,69.972,-438.469,0.2,1
937941,Pcm Inc,Retail Trade,720.95,568.057,28.84,3.19,69.286,1.734,9.257,0,1
1139812,Mb Financial Inc/Md,"Finance, Insurance, And Real Estate",20207.026,17172.178,NA,NA,758.39,NA,38.256,0,1
944148,Cbiz Inc,Services,1183.031,589.368,79.669,0.171,34.205,0.045,18.267,0.077,1
1507563,Esh Hospitality Inc,"Finance, Insurance, And Real Estate",3728.382,2513.228,231.266,-0.34,NA,NA,0.797,0,1
1685040,Brighthouse Finanl Inc,"Finance, Insurance, And Real Estate",206294,191811,NA,NA,0,0,119,0,1
943034,Image Sensing Systems Inc,"Finance, Insurance, And Real Estate",13.484,2.847,2.455,-0.603,0.346,0.013,-0.01,0.167,1
1707092,Delphi Technologies Plc,Manufacturing,3893,3455,NA,NA,1445,NA,-9,0,1
1705682,Venator Materials Plc,Manufacturing,2485,1630,80,-245,994,9,-8,0.167,1
851310,Harmonic Inc,Manufacturing,510.835,282.585,-19.78,2.832,22.321,2.958,4.087,0.4,2
940944,Darden Restaurants Inc,Retail Trade,5892.8,3500.2,NA,NA,2552.6,NA,63.7,0,1
943819,Resmed Inc,Manufacturing,3063.923,1004.943,42.627,478.685,386.55,68.858,205.724,0.258,2
743367,Bar Harbor Bankshares,"Finance, Insurance, And Real Estate",3608.487,3237.908,NA,NA,48.804,NA,7.562,0,1
1568162,American Finance Trust Inc,"Finance, Insurance, And Real Estate",3262.547,1652.812,-37.471,0,0,0,0,0,1
1688852,Safehold Inc,"Finance, Insurance, And Real Estate",979.743,622.385,NA,NA,0,0,0,0,1
1630472,Tpg Re Finance Trt Inc,"Finance, Insurance, And Real Estate",4526.79,3199.62,NA,NA,NA,NA,0.34,0.5,3
1620179,Exela Technologies Inc,Services,1639.782,1820.788,-173.506,19.396,132.986,3.435,8.407,0.167,1
1701040,Cision Ltd,Services,1866.376,1578.059,-14.671,10.022,57.21,12.821,19.745,0.227,2
1701605,Baker Hughes A Ge Co,Mining,52439,17426,-672,1213,6228,472,258,0.143,1
1689796,Jbg Smith Pptys,"Finance, Insurance, And Real Estate",5997.285,2451.793,NA,NA,NA,NA,-0.738,0,1
1668673,Petiq Inc,Manufacturing,495.434,174.457,-1.116,0.542,27.335,0,-0.661,0,1
1612720,Nextdecade Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",169.002,19.531,NA,NA,92.07,0,0,0,1
1183765,Molecular Templates,Manufacturing,140.158,39.252,NA,NA,6.851,0,0,0,1
1708035,Pq Group Holdings Inc,Manufacturing,4327.425,2663.28,3.935,84.681,1208.979,23.08,28.995,0.333,2
1710366,Consol Energy Inc,Mining,2760.727,2209.116,NA,NA,2106.528,1.436,8.828,0,1
1409269,Restoration Robotic Inc,Manufacturing,30.973,29.391,-28.477,-0.202,1.299,0.038,0.047,0.25,2
1654151,Deciphera Phrmctal Inc,Manufacturing,315.559,35.578,NA,NA,13.453,0,0,0,1
1708301,Bp Midstream Partners,"Transportation, Communications, Electric, Gas, And Sanitary Services",693.203,482.351,NA,NA,68.58,0,0,0,1
1494650,Optinose Inc,Manufacturing,216.989,98.378,-146.247,39.589,3.884,0,0,0,1
1710583,Switch Inc,Services,1460.03,751.678,31.379,-0.118,1302.77,0,1.943,0,1
1705110,Angi Homeservices Inc,Services,1808.027,467.877,82.652,-12.628,70.859,0.905,-7.483,0.182,1
1701108,Spero Therapeutics Inc,Manufacturing,129.006,13.151,-33.236,-8.426,2.893,0,0,0.333,2
1441816,Mongodb Inc,Services,733.476,468.91,-50.014,-52.315,73.664,1.442,-3.318,0,1
1701732,Altair Engineering Inc,Services,483.216,194.082,4.228,22.796,30.153,12.552,13.309,0.25,2
1710155,National Vision Hldgs Inc,Retail Trade,1661.389,918.235,NA,NA,355.117,0,-18.785,0,1
1705696,Vici Properties Inc,"Finance, Insurance, And Real Estate",11333.368,4432.346,NA,NA,71.513,0,1.441,0,1
1604643,Evoqua Water Tech,Manufacturing,1663.617,1301.601,-8.613,17.879,320.023,6.703,1.382,0.273,2
1629019,Merchants Bancorp,"Finance, Insurance, And Real Estate",3884.163,3462.926,NA,NA,15.136,NA,21.153,0,1
1627857,Sailpoint Techno Hldg,Services,534.434,156.741,6.951,-2.191,19.268,1.74,1.09,0.5,3
1576942,Stitch Fix Inc,Retail Trade,481.585,166.513,56.978,-2.265,34.169,0,9.813,0.25,2
1690680,Newmark Group Inc,"Finance, Insurance, And Real Estate",3454.157,2371.188,NA,NA,78.805,1.239,90.487,0,1
1647088,Willscot Corp,"Finance, Insurance, And Real Estate",2752.485,2050.288,-80.824,-11.348,2113.04,0.924,-38.6,0,1
1083446,Apollo Medical Holding Inc,Services,512.999,106.338,NA,NA,12.721,0,22.36,0,1
1418100,Avaya Hldgs Corp,Services,7679,5628,3188,-11,250,44,-87,0.32,2
1718512,Gates Industrial Corp Plc,Manufacturing,6722.6,4388.9,-43.3,346.8,756.3,87.7,31.8,0.286,2
1281895,Rocket Pharmaceuticals Inc,Manufacturing,251.313,57.276,-74.518,0,2.027,0,0,1,5
1703056,Adt Inc,Services,17208.608,12983.803,-510.251,-122.367,3234.266,-3.473,-23.463,0,1
1455863,Americold Realty Trust,"Finance, Insurance, And Real Estate",2532.428,1825.673,37.06,7.306,NA,3.604,-3.619,0.111,1
1717547,Colony Northstar Cr Real Est,"Finance, Insurance, And Real Estate",8660.73,5815.528,NA,NA,0,0.588,37.059,0,1
1724670,Perspecta Inc,Services,6083,3921,NA,NA,368,0,40,0,1
1728688,I3 Verticals Inc,Services,175.142,62.944,NA,NA,2.958,0,0.337,0,1
810332,Mesa Air Group,"Transportation, Communications, Electric, Gas, And Sanitary Services",1472.388,1097.921,NA,NA,1253.427,0,-17.426,0,1
23194,Comstock Resources Inc,Mining,2187.84,1618.269,NA,NA,1667.979,0,20.009,0,1
1496048,Brookfield Property Reit,"Finance, Insurance, And Real Estate",19033.526,13878.513,NA,NA,NA,NA,-594.186,0,1
54507,Westar Energy Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",11816.8,7856.1,NA,NA,9887.5,NA,-4.3,0,1
1581280,Twist Bioscience Corp,Manufacturing,115.791,26.73,NA,NA,12.331,NA,0.242,0.75,4
1326428,Roan Resources Inc,Mining,2749.109,1254.075,NA,NA,2397.497,0,356.862,0,1
1544227,Millendo Therapeutics Inc,Manufacturing,84.074,10.952,NA,NA,NA,0,0,0.667,4
1674227,Scworx Corp,Services,5.663,8.571,-3.787,0,0,0,0,0,1
1001082,Dish Network Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",30587.012,21532.755,2175.175,14,1928.18,4.616,533.684,0,1
912061,Natural Health Trends Corp,Wholesale Trade,157.921,68.06,-3.391,37.912,0.934,1.3,3.486,0.455,3
1525769,Dave & Buster's Entmt Inc,Retail Trade,1273.187,885.35,NA,NA,805.337,1.006,30.666,0,1
945114,Systemax Inc,Wholesale Trade,530,392.3,62.8,0.1,14.9,0,13.4,0,1
943452,Wabtec Corp,Manufacturing,8649.234,5780.159,145.096,222.486,563.737,68.467,75.879,0.196,1
934549,Acacia Research Corp,"Finance, Insurance, And Real Estate",223.949,32.709,NA,NA,NA,1.092,1.179,0,1
945983,Wayside Technology Group Inc,Wholesale Trade,107.971,67.398,3.96,1.157,1.588,0.292,1.579,0.333,2
750574,Auburn National Bancorp,"Finance, Insurance, And Real Estate",818.077,729.022,NA,NA,13.596,NA,2.187,0,1
945384,Cicero Inc,Services,0.256,7.684,NA,NA,0.006,0,0,0,1
945989,Astea International Inc,Services,14.268,18.462,1.09,-0.705,0.089,0.013,0.021,0.571,3
944480,Gse Systems Inc,Services,61.44,30.311,2.512,-1.735,1.065,0.234,1.131,0.143,1
928465,Amcon Distributing Co,Wholesale Trade,139.954,75.353,NA,NA,15.768,0,1.164,0,1
930236,Redwood Trust Inc,"Finance, Insurance, And Real Estate",11937.406,10588.612,NA,NA,5.106,0,11.088,0.5,3
1135185,Atlas Air Worldwide Hldg Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",5534.792,3466.828,257.726,51.648,4462.235,0.597,38.727,0.4,2
930420,Kforce Inc,Services,379.908,211.577,NA,NA,35.818,0,19.173,0,1
917520,Integra Lifesciences Hldgs,Manufacturing,3107.887,1732.091,-21.218,78.621,300.112,7.057,-3.398,0.308,2
945394,Hospitality Properties Trust,"Finance, Insurance, And Real Estate",7177.079,4579.648,NA,NA,0,0.667,1.195,0.143,1
947484,Arch Capital Group Ltd,"Finance, Insurance, And Real Estate",32218.329,21780.65,388.492,453.28,NA,85.863,113.951,0.412,3
948708,Smith Micro Software Inc,Services,25.203,4.64,-2.541,-0.186,0.865,0.063,0.013,0.2,1
893949,Mednax Inc,Services,5934.911,2847.027,NA,NA,133.037,0,100.21,0,1
949158,Cray Inc,Manufacturing,517.132,173.753,-76.98,6.67,35.737,1.777,1.371,0.25,2
1076930,Novanta Inc,Manufacturing,719.576,351.321,-0.796,62.098,65.464,16.208,10.207,0.333,2
899923,Myriad Genetics Inc,Manufacturing,1174.1,209.2,119.1,-2.2,43.2,0,-14,0.25,2
913144,Renaissancere Holdings Ltd,"Finance, Insurance, And Real Estate",18676.196,11579.416,349.959,-87.344,NA,1.668,-6.302,0.167,1
944695,Hanover Insurance Group Inc,"Finance, Insurance, And Real Estate",12399.7,9445,NA,NA,NA,NA,43.5,0.182,1
949039,Diamond Offshre Drilling Inc,Mining,6035.694,2451.041,-266.855,40.23,5184.222,9.531,-46.353,0.333,2
945841,Pool Corp,Wholesale Trade,1240.871,1017.281,278.311,14.682,106.964,NA,58.774,0.071,1
927066,Davita Inc,Services,19110.252,14077.213,1083.578,-35.1,3393.669,7.557,258.4,0.103,1
946673,Banner Corp,"Finance, Insurance, And Real Estate",11871.317,10392.722,NA,NA,171.809,NA,28.595,0,1
944809,Opko Health Inc,Services,2451.072,659.781,-132.102,-59.664,144.674,2.738,-38.726,0.375,2
1000228,Henry Schein Inc,Wholesale Trade,8500.527,4646.583,505.877,189.471,382.398,68.299,155.492,0.167,1
1000623,Schweitzer-Mauduit Intl Inc,Manufacturing,1466.5,908.6,55.8,61,340.3,11.6,10.7,0.333,2
927003,Advanced Energy Inds Inc,Manufacturing,816.484,209.182,22.325,150.051,31.269,13.772,25.227,0.389,2
1001250,Lauder (Estee) Cos Inc -Cl A,Manufacturing,12567,7857,-24,2004,1823,357,863,0.5,3
1002047,Netapp Inc,Manufacturing,8741,7651,678,590,759,49,99,0.317,2
1002135,Westell Tech Inc  -Cl A,Manufacturing,48.897,7.717,NA,NA,1.298,0.017,0.039,0,1
1000694,Novavax Inc,Manufacturing,207.978,375.913,-176.29,-8.458,28.426,0,0,0,1
877890,Citrix Systems Inc,Services,5136.049,4576.42,174.519,454.936,243.396,70.146,53.788,0.282,2
1002517,Nuance Communications Inc,Services,5302.379,3584.883,-187.616,-29.119,155.894,25.623,-56.807,0.333,2
920112,Heartland Financial Usa Inc,"Finance, Insurance, And Real Estate",11408.006,10082.831,NA,NA,187.418,NA,28.215,0,1
1003078,Msc Industrial Direct  -Cl A,Wholesale Trade,2288.727,901.473,NA,NA,311.685,0,76.966,0,1
1001907,Astrotech Corp,Manufacturing,5.14,1.148,NA,NA,0.733,0,0,0,1
1001838,Southern Copper Corp,Mining,14484.8,7872,-2.3,4591.7,9403.8,1102.4,1053.5,0,1
1002638,Open Text Corp,Services,7765.029,4047.771,238.405,147.721,264.205,48.777,143.826,0.243,2
4187,Industrial Services Amer Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",22.48,11.466,-0.336,0,9.786,0,0.013,0,1
933738,Englobal Corp,Services,22.306,6.817,NA,NA,0.677,-0.019,0.11,0,1
1034760,Widepoint Corp,Services,47.055,22.638,NA,NA,1.013,0.055,1.193,0.167,1
1609065,Pathfinder Bancorp Inc,"Finance, Insurance, And Real Estate",933.115,868.656,NA,NA,20.623,NA,0.546,0,1
889971,Lightpath Technologies Inc,Manufacturing,47.117,11.76,0.359,-0.126,11.809,-0.118,-0.827,0.25,2
1005757,Csg Systems Intl Inc,Services,1114.362,753.338,80.234,6.753,81.813,3.541,20.857,0.167,1
887921,Revlon Inc  -Cl A,Manufacturing,3016.8,4073.6,-298.5,6.6,465.1,10.2,2.2,0.318,2
1114927,First Northn Cmnty Bancorp,"Finance, Insurance, And Real Estate",1249.845,1137.384,NA,NA,6.646,NA,4.744,0,1
1020569,Iron Mountain Inc,"Finance, Insurance, And Real Estate",11852.247,9896.126,201.73,156.181,4489.557,45.371,36.263,0.275,2
940942,Hub Group Inc  -Cl A,"Transportation, Communications, Electric, Gas, And Sanitary Services",1924.898,944.064,NA,NA,681.859,-0.234,29.064,0,1
1005731,Idt Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",399.597,368.294,0.91,7.191,36.068,-0.011,2.902,0.25,2
1447028,Arbutus Biopharma Corp,Manufacturing,227.905,27.671,NA,NA,10.145,0,-4.282,0,1
1007330,Prgx Global Inc,Services,124.829,58.5,-4.673,9.345,22.028,2.92,1.321,0.25,2
949157,Century Aluminum Co,Manufacturing,1537.5,775.3,-39.7,-30.9,967.3,0.8,-0.2,0.333,2
946644,Hemispherx Biopharma Inc,Manufacturing,13.845,8.671,NA,NA,7.782,0,0,0,1
1007587,Kvh Industries Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",187.652,88.137,-12.828,5.161,53.248,1.408,0.565,0.333,2
1438731,Alj Regional Holdings Inc,Services,231.468,139.94,NA,NA,60.162,0,4.299,0,1
928340,Consolidated Water Co Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",172.516,8.76,NA,NA,64.896,NA,-0.157,0.8,4
1006655,Evolution Petroleum Corp,Mining,93.663,16.373,NA,NA,61.269,0,-3.431,0,1
1006269,Loral Space & Communications,"Transportation, Communications, Electric, Gas, And Sanitary Services",330.3,32.734,NA,NA,NA,0.25,-39.348,0.333,2
931336,Dean Foods Co,Manufacturing,2118.492,1803.76,NA,NA,1006.182,-0.554,-42.283,0.5,3
1008586,Streamline Health Solutions,Services,31.74,16.852,NA,NA,0.237,0,0,0,1
1009672,Carbo Ceramics Inc,Manufacturing,474.366,138.083,NA,NA,273.619,0.042,0.892,0.5,3
86312,Travelers Cos Inc,"Finance, Insurance, And Real Estate",104233,81339,3039,-78,NA,41,438,0.143,1
1010612,Sykes Enterprises Inc,Services,1171.967,345.358,6.971,49.946,135.418,9.938,7.991,0.2,1
1009829,Jakks Pacific Inc,Manufacturing,342.841,291.192,-58.693,19.219,20.902,4.154,2.951,0.273,2
887936,Fti Consulting Inc,Services,2379.121,1030.296,96.543,111.249,84.577,21.056,57.181,0.333,2
887919,Premier Financial Bancorp,"Finance, Insurance, And Real Estate",1690.115,1473.386,NA,NA,29.385,NA,5.898,0,1
1000209,Medallion Financial Corp,"Finance, Insurance, And Real Estate",1381.846,1091.642,NA,NA,1.222,0,0.373,0,1
914475,Neurocrine Biosciences Inc,Manufacturing,993.151,512.386,21.841,0,33.869,0,0.73,0,1
1402436,Ss&C Technologies Hldgs Inc,Services,16107.5,11527.5,-10.9,136,553.2,37.8,21.9,0.429,3
705432,Southside Bancshares Inc,"Finance, Insurance, And Real Estate",6123.494,5392.203,NA,NA,135.972,NA,10.163,0,1
1012477,Avadel Pharmaceuticals -Adr,Manufacturing,190.3,187.52,-42.604,-70.593,1.911,0.33,-17.893,0.2,1
767405,Sb Financial Group Inc,"Finance, Insurance, And Real Estate",986.828,856.393,NA,NA,22.084,NA,2.806,0,1
1013462,Ansys Inc,Services,3265.964,616.417,455.478,31.607,61.655,30.359,67.71,0.364,2
1013606,Endologix Inc,Manufacturing,293.07,253.424,-70.176,-9.254,16.033,0.26,0.284,0.4,2
920448,Broadvision Inc,Services,3.853,2.452,-6.364,-0.667,0.015,0.009,-0.031,0.3,2
1012620,Genesee & Wyoming Inc  -Cl A,"Transportation, Communications, Electric, Gas, And Sanitary Services",7868.461,4238.409,291.058,27.803,4613.014,17.955,64.535,0.056,1
1014111,Glassbridge Enterprises Inc,Manufacturing,15,34.2,-13.8,5,0,0,-0.1,0.316,2
